title,github_url,category,license,author,asset_url
Godot Atlas Cutter,https://github.com/newold3/Auto-Slice-Atlas,2D Tools,MIT,newold33,https://godotengine.org/asset-library/asset/2590
Packed Scene Instantiater,https://github.com/Lazy-Rabbit-2001/godot-addon-packed-scene-instantiater,Scripts,MIT,Yukana,https://godotengine.org/asset-library/asset/3754
Takin Game Template,https://github.com/TinyTakinTeller/TakinGodotTemplate,Templates,MIT,TinyTakinTeller_,https://godotengine.org/asset-library/asset/3872
Godot 3D Flight Control Tutorial,https://github.com/UtMan88/Godot3DFlightControls,Demos,MIT,UtMan1988,https://godotengine.org/asset-library/asset/2272
Thirdperson Controller (.NET),https://github.com/vaporvee/gd-net-thirdpersoncontroller,Templates,MIT,vaporvee,https://godotengine.org/asset-library/asset/1603
3D Cross The Road Template,https://github.com/vertexcube/3D-Cross-The-Road-Template,Templates,MIT,dwarfpreon,https://godotengine.org/asset-library/asset/1501
3d Maze Generator,https://github.com/mojoyup1528/maze_generator3D,3D Tools,MIT,mojoyup1528,https://godotengine.org/asset-library/asset/3749
Alexandria - alexandria.netserver,https://github.com/BtheDestroyer/godot-alexandria,Scripts,MIT,BryceDixon,https://godotengine.org/asset-library/asset/3215
DungeonCrawler3D,https://github.com/Rebelion-Board-game/DungonCrawler,Scripts,CC0,slime3000fly,https://godotengine.org/asset-library/asset/3941
Follow Parent,https://github.com/KarlTheCool/FollowParent,Misc,MIT,KarlTheCool,https://godotengine.org/asset-library/asset/1905
GdScript2All,https://github.com/Lcbx/GdScript2All,Tools,GPLv3,Lcbx,https://godotengine.org/asset-library/asset/3373
Godot Tiled Tools,https://github.com/Frontrider/Godot-Tiled-Tools,2D Tools,MIT,notman,https://godotengine.org/asset-library/asset/1146
Godot-Spyglass,https://github.com/NovaDC/Godot-Spyglass,2D Tools,MIT,NovaDC,https://godotengine.org/asset-library/asset/3462
GodotTouchCamera,https://github.com/DionHo/GodotTouchCamera,Scripts,MIT,Dion,https://godotengine.org/asset-library/asset/1810
Kenney's UI Audio,https://github.com/Loppansson/kenney-ui-audio-for-godot,Misc,CC0,Lopano,https://godotengine.org/asset-library/asset/1837
localization_with_google_sheet,https://github.com/palmasop/localization_with_google_sheet,Tools,MIT,palmasop,https://godotengine.org/asset-library/asset/4063
RhythmNotifier - Sync Your Game to the Beat of the Music (Sound & Audio),https://github.com/michaelgundlach/rhythm_notifier,Tools,MIT,jumpingmechanic,https://godotengine.org/asset-library/asset/3417
TextEditor Integration,https://github.com/fenix-hub/godot-engine.text-editor,Tools,MIT,fenix,https://godotengine.org/asset-library/asset/423
TODO 4,https://github.com/Vacui/TODO_4,Tools,MIT,Vacui,https://godotengine.org/asset-library/asset/2172
Virtual Joystick,https://github.com/MarcoFazioRandom/Virtual-Joystick-Godot,Tools,MIT,MarcoFazio,https://godotengine.org/asset-library/asset/1787
Visibility shortcut,https://github.com/Janders1800/godot-visibility-shortcut,Misc,MIT,Janders,https://godotengine.org/asset-library/asset/2645
"""Immersive"" First Person Controller",https://github.com/Levox98/Godot_First-Person-Controller,3D Tools,MIT,levox.,https://godotengine.org/asset-library/asset/3198
.mtl loader,https://github.com/Quakermann/.mtl-loader,Materials,MIT,barnoftheyard,https://godotengine.org/asset-library/asset/638
1$ gesture recogniser and recorder,https://github.com/blurymind/1dollar_gesture_recogniser,2D Tools,MIT,blurymind,https://godotengine.org/asset-library/asset/91
10 Simple Shader Examples (with Video),https://github.com/Goldenlion5648/ShaderExamplesWithVideo,Demos,MIT,ThinkWithGames,https://godotengine.org/asset-library/asset/2098
10+ GDScript Tips Script (With Video),https://github.com/Goldenlion5648/GDScriptTipsForGodot,Scripts,MIT,ThinkWithGames,https://godotengine.org/asset-library/asset/2335
"2, 4, 8 Godot-multidirectional-joystick",https://github.com/JstnJrg/Godot_multidirectional_joystick,Tools,CC0,jstnjrg,https://godotengine.org/asset-library/asset/2094
2.5D Demo,https://github.com/godotengine/godot-demo-projects,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/583
2.5D Game Demo,https://github.com/godotengine/godot-demo-projects,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/2783
2D Action Compute Resource,https://github.com/KijouShihona/2DActionComputeResource,2D Tools,MIT,Kijou Shihona,https://godotengine.org/asset-library/asset/2173
2D Bullet Shower Demo,https://github.com/godotengine/godot-demo-projects,Demos,MIT,Godot Engine,https://godotengine.org/asset-library/asset/887
2D Camera Controller - Multitarget follow + FXs,https://github.com/AsyncStudio/godot-smartcamera-2d,2D Tools,MIT,AndreMicheletti,https://godotengine.org/asset-library/asset/3686
